,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Geographic Area,City,Median Income
0,0,0,0,0,AL,Abanda CDP,11207
1,1,1,1,1,AL,Abbeville city,25615
2,2,2,2,2,AL,Adamsville city,42575
3,3,3,3,3,AL,Addison town,37083
4,4,4,4,4,AL,Akron town,21667
5,5,5,5,5,AL,Alabaster city,71816
6,6,6,6,6,AL,Albertville city,32911
7,7,7,7,7,AL,Alexander City city,29874
8,8,8,8,8,AL,Alexandria CDP,56058
9,9,9,9,9,AL,Aliceville city,21131
10,10,10,10,10,AL,Allgood town,42009
11,11,11,11,11,AL,Altoona town,27566
12,12,12,12,12,AL,Andalusia city,31968
13,13,13,13,13,AL,Anderson town,34792
14,14,14,14,14,AL,Anniston city,29681
15,15,15,15,15,AL,Arab city,40292
16,16,16,16,16,AL,Ardmore town,35670
17,17,17,17,17,AL,Argo town,57212
18,18,18,18,18,AL,Ariton town,24286
19,19,19,19,19,AL,Arley town,28750
20,20,20,20,20,AL,Ashford town,42704
21,21,21,21,21,AL,Ashland town,31438
22,22,22,22,22,AL,Ashville city,40547
23,23,23,23,23,AL,Athens city,47542
24,24,24,24,24,AL,Atmore city,26775
25,25,25,25,25,AL,Attalla city,37191
26,26,26,26,26,AL,Auburn city,38342
27,27,27,27,27,AL,Autaugaville town,24833
28,28,28,28,28,AL,Avon town,40417
29,29,29,29,29,AL,Axis CDP,55750
30,30,30,30,30,AL,Babbie town,41912
31,31,31,31,31,AL,Baileyton town,31875
32,32,32,32,32,AL,Bakerhill town,31875
33,33,33,33,33,AL,Ballplay CDP,37778
34,34,34,34,34,AL,Banks town,28750
35,35,35,35,35,AL,Bay Minette city,31576
36,36,36,36,36,AL,Bayou La Batre city,34583
37,37,37,37,37,AL,Bear Creek town,35563
38,38,38,38,38,AL,Beatrice town,18417
39,39,39,39,39,AL,Beaverton town,31875
40,40,40,40,40,AL,Belgreen CDP,27750
41,41,41,41,41,AL,Belk town,28906
42,42,42,42,42,AL,Bellamy CDP,22132
43,43,43,43,43,AL,Belle Fontaine CDP,34615
44,44,44,44,44,AL,Benton town,(X)
45,45,45,45,45,AL,Berry town,25865
46,46,46,46,46,AL,Bessemer city,29615
47,47,47,47,47,AL,Billingsley town,41250
48,48,48,48,48,AL,Birmingham city,31061
49,49,49,49,49,AL,Black town,41071
50,50,50,50,50,AL,Blountsville town,30152
51,51,51,51,51,AL,Blue Ridge CDP,96333
52,52,52,52,52,AL,Blue Springs town,45313
53,53,53,53,53,AL,Boaz city,35974
54,54,54,54,54,AL,Boligee town,12173
55,55,55,55,55,AL,Bon Air town,23750
56,56,56,56,56,AL,Bon Secour CDP,(X)
57,57,57,57,57,AL,Boykin CDP,(X)
58,58,58,58,58,AL,Brantley town,27870
59,59,59,59,59,AL,Brantleyville CDP,40370
60,60,60,60,60,AL,Brent city,33924
61,61,61,61,61,AL,Brewton city,31033
62,62,62,62,62,AL,Bridgeport city,28571
63,63,63,63,63,AL,Brighton city,22146
64,64,64,64,64,AL,Brilliant town,25893
65,65,65,65,65,AL,Bristow Cove CDP,(X)
66,66,66,66,66,AL,Brook Highland CDP,60212
67,67,67,67,67,AL,Brookside town,34554
68,68,68,68,68,AL,Brookwood town,51515
69,69,69,69,69,AL,Broomtown CDP,28750
70,70,70,70,70,AL,Brundidge city,23819
71,71,71,71,71,AL,Bucks CDP,-
72,72,72,72,72,AL,Butler town,28950
73,73,73,73,73,AL,Calera city,62893
74,74,74,74,74,AL,Calvert CDP,-
75,75,75,75,75,AL,Camden city,28375
76,76,76,76,76,AL,Camp Hill town,25118
77,77,77,77,77,AL,Carbon Hill city,25990
78,78,78,78,78,AL,Cardiff town,(X)
79,79,79,79,79,AL,Carlisle-Rockledge CDP,35938
80,80,80,80,80,AL,Carlton CDP,(X)
81,81,81,81,81,AL,Carolina town,50278
82,82,82,82,82,AL,Carrollton town,27857
83,83,83,83,83,AL,Castleberry town,20677
84,84,84,84,84,AL,Catherine CDP,-
85,85,85,85,85,AL,Cedar Bluff town,36389
86,86,86,86,86,AL,Center Point city,39944
87,87,87,87,87,AL,Centre city,31268
88,88,88,88,88,AL,Centreville city,41103
89,89,89,89,89,AL,Chatom town,35365
90,90,90,90,90,AL,Chelsea city,85757
91,91,91,91,91,AL,Cherokee town,28359
92,92,92,92,92,AL,Chickasaw city,30973
93,93,93,93,93,AL,Childersburg city,25948
94,94,94,94,94,AL,Choccolocco CDP,54825
95,95,95,95,95,AL,Chunchula CDP,(X)
96,96,96,96,96,AL,Citronelle city,48125
97,97,97,97,97,AL,Clanton city,39823
98,98,98,98,98,AL,Clay city,68717
99,99,99,99,99,AL,Clayhatchee town,32656
100,100,100,100,100,AL,Clayton town,25203
101,101,101,101,101,AL,Cleveland town,40909
102,102,102,102,102,AL,Clio city,19539
103,103,103,103,103,AL,Coaling town,54167
104,104,104,104,104,AL,Coats Bend CDP,42821
105,105,105,105,105,AL,Coffee Springs town,33636
106,106,106,106,106,AL,Coffeeville town,19583
107,107,107,107,107,AL,Coker town,45795
108,108,108,108,108,AL,Collinsville town,25795
109,109,109,109,109,AL,Colony town,33063
110,110,110,110,110,AL,Columbia town,31806
111,111,111,111,111,AL,Columbiana city,32700
