,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Geographic Area,City,percent_completed_hs
0,0,0,0,0,AL,Abanda CDP,21.2
1,1,1,1,1,AL,Abbeville city,69.1
2,2,2,2,2,AL,Adamsville city,78.9
3,3,3,3,3,AL,Addison town,81.4
4,4,4,4,4,AL,Akron town,68.6
5,5,5,5,5,AL,Alabaster city,89.3
6,6,6,6,6,AL,Albertville city,72.7
7,7,7,7,7,AL,Alexander City city,78.1
8,8,8,8,8,AL,Alexandria CDP,88.8
9,9,9,9,9,AL,Aliceville city,74.3
10,10,10,10,10,AL,Allgood town,48.1
11,11,11,11,11,AL,Altoona town,66.9
12,12,12,12,12,AL,Andalusia city,81.1
13,13,13,13,13,AL,Anderson town,85.7
14,14,14,14,14,AL,Anniston city,79.8
15,15,15,15,15,AL,Arab city,87.6
16,16,16,16,16,AL,Ardmore town,77.7
17,17,17,17,17,AL,Argo town,87.5
18,18,18,18,18,AL,Ariton town,71.3
19,19,19,19,19,AL,Arley town,80.6
20,20,20,20,20,AL,Ashford town,83.5
21,21,21,21,21,AL,Ashland town,77.9
22,22,22,22,22,AL,Ashville city,77.6
23,23,23,23,23,AL,Athens city,83.4
24,24,24,24,24,AL,Atmore city,73.7
25,25,25,25,25,AL,Attalla city,76
26,26,26,26,26,AL,Auburn city,94.3
27,27,27,27,27,AL,Autaugaville town,71.2
28,28,28,28,28,AL,Avon town,82.8
29,29,29,29,29,AL,Axis CDP,79.9
30,30,30,30,30,AL,Babbie town,81.2
31,31,31,31,31,AL,Baileyton town,74.7
32,32,32,32,32,AL,Bakerhill town,72.4
33,33,33,33,33,AL,Ballplay CDP,80.3
34,34,34,34,34,AL,Banks town,73
35,35,35,35,35,AL,Bay Minette city,79.1
36,36,36,36,36,AL,Bayou La Batre city,58.5
37,37,37,37,37,AL,Bear Creek town,76.7
38,38,38,38,38,AL,Beatrice town,89.1
39,39,39,39,39,AL,Beaverton town,87.9
40,40,40,40,40,AL,Belgreen CDP,87
41,41,41,41,41,AL,Belk town,63.8
42,42,42,42,42,AL,Bellamy CDP,86.5
43,43,43,43,43,AL,Belle Fontaine CDP,91.9
44,44,44,44,44,AL,Benton town,100
45,45,45,45,45,AL,Berry town,65.4
46,46,46,46,46,AL,Bessemer city,81.5
47,47,47,47,47,AL,Billingsley town,71.3
48,48,48,48,48,AL,Birmingham city,85.1
49,49,49,49,49,AL,Black town,90
50,50,50,50,50,AL,Blountsville town,73.1
51,51,51,51,51,AL,Blue Ridge CDP,97.6
52,52,52,52,52,AL,Blue Springs town,95.6
53,53,53,53,53,AL,Boaz city,76.6
54,54,54,54,54,AL,Boligee town,79.9
55,55,55,55,55,AL,Bon Air town,85.7
56,56,56,56,56,AL,Bon Secour CDP,79
57,57,57,57,57,AL,Boykin CDP,53.7
58,58,58,58,58,AL,Brantley town,75.1
59,59,59,59,59,AL,Brantleyville CDP,85.1
60,60,60,60,60,AL,Brent city,73.8
61,61,61,61,61,AL,Brewton city,84.5
62,62,62,62,62,AL,Bridgeport city,74.9
63,63,63,63,63,AL,Brighton city,78.6
64,64,64,64,64,AL,Brilliant town,75.9
65,65,65,65,65,AL,Bristow Cove CDP,65.1
66,66,66,66,66,AL,Brook Highland CDP,96.2
67,67,67,67,67,AL,Brookside town,78.7
68,68,68,68,68,AL,Brookwood town,83.1
69,69,69,69,69,AL,Broomtown CDP,66.2
70,70,70,70,70,AL,Brundidge city,77.2
71,71,71,71,71,AL,Bucks CDP,100
72,72,72,72,72,AL,Butler town,80.2
73,73,73,73,73,AL,Calera city,89.1
74,74,74,74,74,AL,Calvert CDP,22.8
75,75,75,75,75,AL,Camden city,82.8
76,76,76,76,76,AL,Camp Hill town,76.6
77,77,77,77,77,AL,Carbon Hill city,65.4
78,78,78,78,78,AL,Cardiff town,72.7
79,79,79,79,79,AL,Carlisle-Rockledge CDP,73.1
80,80,80,80,80,AL,Carlton CDP,77
81,81,81,81,81,AL,Carolina town,87.8
