,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
0,0,0,0,AL,Abanda CDP,67.2,30.2,0,0,1.6
1,1,1,1,AL,Abbeville city,54.4,41.4,0.1,1,3.1
2,2,2,2,AL,Adamsville city,52.3,44.9,0.5,0.3,2.3
3,3,3,3,AL,Addison town,99.1,0.1,0,0.1,0.4
4,4,4,4,AL,Akron town,13.2,86.5,0,0,0.3
5,5,5,5,AL,Alabaster city,79.4,13.5,0.4,0.9,9
6,6,6,6,AL,Albertville city,75.9,1.9,0.8,0.5,27.9
7,7,7,7,AL,Alexander City city,62.2,32,0.2,0.9,4.8
8,8,8,8,AL,Alexandria CDP,87.4,10.2,0.3,0.5,0.9
9,9,9,9,AL,Aliceville city,22.6,74.9,0.1,0,1.2
10,10,10,10,AL,Allgood town,79.6,0.6,0.3,0.6,49.4
11,11,11,11,AL,Altoona town,95.8,1.7,0.2,0.2,1.1
12,12,12,12,AL,Andalusia city,70.5,25.9,0.4,1,1.9
13,13,13,13,AL,Anderson town,97.9,0,0.4,0,0.7
14,14,14,14,AL,Anniston city,44.7,51.5,0.3,0.8,2.7
15,15,15,15,AL,Arab city,96.6,0.1,0.6,0.7,1.7
16,16,16,16,AL,Ardmore town,94.3,1.9,0.8,0.9,1.3
17,17,17,17,AL,Argo town,94.1,3.6,0.4,0.3,0.5
18,18,18,18,AL,Ariton town,78.3,19.2,0,0.1,6
19,19,19,19,AL,Arley town,94.4,0,0.6,0.3,1.4
20,20,20,20,AL,Ashford town,79,19.5,0.2,0.2,0.8
21,21,21,21,AL,Ashland town,71.5,24.1,0.3,0.7,5.7
22,22,22,22,AL,Ashville city,75.8,20.3,0.2,0.3,3.8
23,23,23,23,AL,Athens city,73,17.5,0.6,0.9,8.8
24,24,24,24,AL,Atmore city,40,55.6,1.8,0.3,1.8
25,25,25,25,AL,Attalla city,81.5,12.7,0.4,0.5,4.7
26,26,26,26,AL,Auburn city,75.1,16.5,0.3,5.3,2.9
27,27,27,27,AL,Autaugaville town,31.3,66.8,0.2,0,0.8
28,28,28,28,AL,Avon town,94.7,1.8,1.8,0,1.3
29,29,29,29,AL,Axis CDP,66.8,26.9,3.2,0.1,0.9
30,30,30,30,AL,Babbie town,96.7,0,0,1.5,0.2
31,31,31,31,AL,Baileyton town,96.2,0.2,0.5,0,1.5
32,32,32,32,AL,Bakerhill town,61.6,35.5,0.7,0,1.1
33,33,33,33,AL,Ballplay CDP,97.5,0.1,0.7,0.3,1
34,34,34,34,AL,Banks town,69.3,24.6,2.2,0,1.1
35,35,35,35,AL,Bay Minette city,60.4,35.3,1,0.8,1.8
36,36,36,36,AL,Bayou La Batre city,60.3,12.3,0.4,22.8,2.8
37,37,37,37,AL,Bear Creek town,97.1,0.1,0.7,0.2,1.8
38,38,38,38,AL,Beatrice town,23.6,76.1,0.3,0,0
39,39,39,39,AL,Beaverton town,95,5,0,0,1
40,40,40,40,AL,Belgreen CDP,96.1,0,0,0,3.9
41,41,41,41,AL,Belk town,95.8,2.8,0,0.5,0.9
42,42,42,42,AL,Bellamy CDP,8.3,90.8,0,0.9,1.3
